"a";"Art";"एक"
"finely";"Adv";"सूक्ष्मतासे"
"fine art";"N";"ललितकला"
"fine print";"N";"बारीक अक्षरों में"
"to go over/through with a fine toothed comb";"IDM";"बारीकीसेजाचपडतालकरना"
"fine";"Adv";"ठीकतरहसे"
"fine";"Adv";"बहुतकमअन्तरहोना"
"to cut it fine";"IDM";"अन्तिम समय के लिये काम छोडना"
"Fine tune";"V";"पूर्ण विवरण में जाना"
"fine";"N";"जुर्माना"
"fine";"V";"जुर्माना लगाना"
"finery";"N";"अलंकारित वस्त्र आदि"
"finesse";"N";"चतुराई"
"finger";"N";"उंगली"
"finger mark";"N";"उंगली के निशान"
"finger";"V";"उंगली से छूना"
"fingering";"N";"धीरे से छूना"
"fingernail";"N";"नाखून"
"fingerprint";"N";"उंगली का निशान"
"fingertip";"N";"उंगली का पोर"
"at one's fingertips";"IDM";"जानकारी होना"
"finicky";"Adj";"कठिनता से प्रसन्न होनेवाला"
"finish";"V";"पूर्ण करना"
"finish";"V";"समाप्तकरना"
"finish";"V";"मारडालना"
"finish";"N";"अन्त"
"finisher";"N";"अन्ततकरहनेवाला"
"finishing line";"N";"अंतिमरेखादौडमें"
"finishing school";"N";"खासस्कूल"
"finished";"Adj";"पूर्ण"
"finished";"Adj";"समाप्त"
"finite";"Adj";"नियत"
"fiord";"N";"पहाडोंकेबीचकासमुद्रीभाग"
"fir";"N";"सरोकापेड"
"fir cone";"N";"फरपेडकाफल"
"fire";"N";"आग"
"fire";"N";"गोलीचलाना"
"fire alarm";"N";"आगल गने की सूचना देनेवाला यंत्र"
"fire ball";"N";"आगका गोला"
"fire bomb";"N";"आगलगा नेवालाबम"
"fire break";"N";"जंगल की आग रोकने के लिये साफ की जगह"
"fire brigade";"N";"अग्निशामकदल"
"fire service";"N";"अग्निशामकसेवा"
"fire department";"N";"अग्निशामकविभाग"
"fire door";"N";"आग रोकने के लिये बनाया गया दरवाजआ"
"fire drill";"N";"आगबुझानेकीतैयारी"
"fire engine";"N";"दमकल"
"fire escape";"N";"आगलगनेपरभागनेकारास्ता"
"fire extinguisher";"N";"आगबुझानेकायंत्र"
"fire fighter";"N";"आगबुझानेवालाव्यक्ति"
"fire guard";"N";"आगफैलनेसेरोकनेकीबाढ"
"fire lighter";"N";"आगलगानेकासाधन"
"fire power";"N";"लडआईकीशक्ति"
"fire station";"N";"दमकलरखनेकीजगह"
"fire water";"N";"कडईशराब"
"fire";"V";"प्रहारकरनाबंदूकयातीरसे"
"fire";"V";"निकालदेना"
"fire";"V";"उत्तेजितहोना"
"fire";"V";"भट्टीमें पकाना"
"fired";"Adj";"अग्निप्रज्ज्वलन"
"firing";"N";"बंदूकचलाना"
"firing line";"N";"लडआईमें आगेकीपंत्ति"
"firing squad";"N";"गोलीचलानेवालादस्ता"
"firearm";"N";"असला"
"firebrand";"N";"जल्दीउत्तेजितहोनेवाला"
"firecracker";"N";"पटाखे"
"firefly";"N";"जुगनू"
"firelight";"N";"अग्निकाप्रकाश"
"fireman";"N";"दमकलकासदस्य"
"fireplace";"N";"अंगीठी"
"fireproof";"Adj";"अग्निनिरोधक"
"fireside";"N";"आगकेपास"
"firewood";"N";"जलानेकीलकडई"
"firework";"N";"पटाखे"
"firework";"N";"झगडआ"
"firm";"Adj";"दृढ"
"firm";"Adj";"अचल"
"firm";"Adj";"स्थिर"
"firm";"V";"दृढकरना"
"firm";"Adv";"स्थिरता होना"
"firm";"N";"व्यापारिककंपनी"
"firmament";"N";"आकाश"
"first";"Adj";"प्रथम"
"first";"Adj";"पहला"
"firstly";"Adv";"आरम्भमें"
"first aid";"N";"प्राथमिकचिकित्सा"
"first base";"N";"बेसबालखेलमेंपहलाबेस"
"first class";"N";"पहलादर्जा"
"first class";"N";"डाककाशुल्क"
"first cousin";"N";"चचेरा"
"first day cover";"N";"डाकटिकटजारीकरनेकेदिनकीमुहरकालिफाफा"
"first degree";"N";"कम"
"first ever";"Adj";"प्रथम"
"first finger";"N";"तर्जनी"
"first floor";"N";"दूसरीमंजिल"
"first fruit";"N";"प्रथमफल"
"first fruit";"N";"प्रथम सफलता"
"first gear";"N";"पहला गियर"
"first lady";"N";"राष्ट्रपतिकीपत्नी"
"first light";"N";"भोर"
"first name";"N";"नाम"
"first night";"N";"पहलीबार"
"first offender";"N";"पहली बार अपराध करने वाला"
"the first person";"N";"आपबीती"
"first rate";"Adj";"अतिउत्तम"
"first rate";"Adv";"अतिउत्तम"
"first refusal";"N";"प्राथमिकता"
"first school";"N";"प्राइमरीस्कूल"
"first time";"Adj";"पहलीबार"
"the First World War";"N";"प्रथममहायुद्ध"
"first";"Adv";"सबसेपहले"
"first";"Adv";"के पहले"
"first born";"N";"पहली संतान"
"first";"N";"प्रथम"
"from the very first";"IDM";"पहलेसे"
"from first to last";"IDM";"शुरुसेअंततक"
"firsthand";"Adj";"सीधीखबर"
"firth";"N";"संकरीखाडई"
"fiscal";"Adj";"राजकरसंबन्धी"
"fiscal year";"N";"वित्तवर्ष"
"fish";"N";"मछली"
"odd fish";"N";"औरोंसेभिन्नव्यक्ति"
"fishy";"Adj";"संशययुक्त"
"fishy";"Adj";"मछली की गंध युक्त"
"fish and chips";"N";"मछली और चिप्स का नाश्ता"
"fish cake";"N";"मछली की टिकिया"
"fish eye/lense";"N";"एक तरह का कैमरे का लैन्स"
"fish farm";"N";"मछलीपालनकातालाब"
"fish stick";"N";"मछलीकेतलेहुएकतले"
"fish finger";"N";"मछलीकेतलेहुएकतले"
"fish hook";"N";"मछलीपकडनेकाकाटा"
"fish knife";"N";"मछलीखानेकाचाकू"
"fish slice";"N";"एकतरहकापलटा"
"fish";"V";"मछलीपकडना"
"fishing";"N";"मछलीपकडना"
"fishing line";"N";"मछलीपकडनेकीडोरी"
"fishing pole";"N";"मछलीपकडनेकाडंडा"
"fishing rod";"N";"मछलीपकडनेकाडंडा"
"fisherman";"N";"मछुआरा"
"fishery";"N";"मछलीपकडनेकीजगह"
"fishmonger";"N";"मछलीबेचनेवाला"
"fishnet";"N";"बारीकजाली"
"fish plate";"N";"फिशप्लेटरेलकीपटरियोंकोजोडनेवालीप्लेट"
"fissile";"Adj";"आण्विकसामग्री"
"fission";"N";"अणुओंकाविभाजन"
"fission";"N";"जीवकोशोकाविभाजन"
"fissalparous";"Adj";"जीवकोशोंकेविभाजनसेउत्तपन्नकोश"
"fissure";"N";"दरार"
"fissured";"Adj";"फटाहुआ"
"fist";"N";"मुठ्ठी"
"fistful";"N";"मुठ्ठीभर"
"fistcuffs";"N";"मुक्केबाजई"
"fit";"Adj";"स्वस्थ"
"fit";"Adj";"उपयुक्त"
"fit";"Adj";"उचित"
"fit";"N";"दौरा"
"fit";"N";"आवेश"
"fit";"N";"नापका"
"fitness";"N";"स्वस्थहोना"
"fit";"V";"समाना"
"fit";"V";"सही बैठना"
"fitted";"Adj";"समादेना"
"fitter";"N";"मेकेनिक"
"fitter";"N";"दर्जी"
"fitful";"Adj";"व्याकुल"
"fitfully";"Adv";"व्याकुलतासे"
"fitment";"N";"सामान"
"fitting";"Adj";"सामायिक"
"fitting";"N";"सामान"
"fitting";"N";"कपडएबनवाना"
"five";"N/Det";"पाच"
"fiver";"N";"पाचकानोट"
"five o'clock shadow";"N";"बढीहुईदाढी"
"fivefold";"Adv";"पाचगुना"
"fivefold";"Adj";"पाचगुना"
"fives";"N";"एकगेंदकाखेल"
"fix";"V";"जोडना"
"fix";"V";"निश्चितकरना"
"fix";"V";"तैयारकरना"
"fix";"V";"ठीककरना"
"fix";"V";"साठगाठकरना"
"fix";"V";"दंडदेना"
"fix";"V";"पुष्टकरना"
"fixed";"Adj";"स्थिरकीहुई"
"fixed";"Adj";"दृढकियाहुआ"
"fixed";"Adj";"स्थापितकियाहुआ"
"fixedly";"Adv";"दृढतापूर्वक"
"fixed costs";"N";"स्थिरखर्च"
"fixer";"N";"बिचौलिया"
"fixer";"N";"रासायनिकपदार्थ"
"fixity";"N";"दृढनिश्चय"
"fix";"N";"कठिनाई"
"fix";"N";"बेइमानी"
"fix";"N";"नशीलीदवाई"
"fix";"N";"स्थापना"
"fixated";"Adj";"नियमविपरीत"
"fixation";"N";"असाधारणआसक्ति"
"fixative";"N";"रासायनिकपदार्थ"
"fixative";"N";"गोंद"
"fixture";"N";"नियतखेल"
"fixture";"N";"फिक्सचरबजलीपानीइत्यादिकासामानजोघरोंमेंलगताहै"
"fixture";"N";"स्थाई"
"fizz";"V";"आक्रामकरुख"
"fizz";"N";"गैसनिकलनेकीफुफकार"
"fizzle";"V";"असफलहोना"
"fizzy";"Adj";"गैसकामिलाहोना"
"flab";"N";"अतिरिक्तमास"
"flabby";"Adj";"ढीला"
"flabby";"Adj";"कमजओर"
"flabbergast";"V";"अचंभितकरना"
"flaccid";"Adj";"कमज ओर"
"flaccid";"Adj";"ढीला"
"flag";"N";"झंडा"
"flag";"N";"एक तरह का पेड"
"flag";"V";"संकेत देना"
"flag";"V";"कमजओरहोना"
"flag day";"N";"झंडादिवस"
"flag of convenience";"N";"दूसरे देश का झंडा"
